Timestamp,Are you from JC or Poly?,"On Average, how many hours do you study per day outside of school (number only)","On a scale of 1-10, how stressed are you?",Why did you choose that stress level?,"On Average, how many hours do you study per day outside of school during exam week (number only)"
1/19/2026 14:19:18,Poly,10,,Why did you choose that stress level?,
1/19/2026 15:05:56,Poly,1,6,because i have some stress about assingments here and there but its not anything i cannot manage,
1/19/2026 15:10:21,JC,4,10,Nanyang is very stressful and high workload,
1/24/2026 16:32:54,Poly,2,10,Because we bad at math so very stress and got other modules to do,
1/24/2026 16:38:51,Poly,9,7,There is too many modules to catch up,
1/24/2026 16:41:03,Poly,2,7,work load,
1/24/2026 16:46:40,JC,4,8,High workload ,
1/24/2026 16:49:14,JC,0,10,Because Netanyahu didn't give me a call yet,
1/24/2026 16:52:19,Poly,1,3,Nil,
1/24/2026 17:01:08,Poly,3,6,school commitments besides studies,
1/24/2026 18:39:30,Poly,4,7,alot of tests and presentations,
1/24/2026 18:55:56,Poly,2,6,Assignments are due soon ,
1/24/2026 19:01:00,Poly,4,10,"Give me my money, balance both study and part time job",
1/24/2026 19:30:56,JC,5,3,Because my subjects are essentially just math math math and physics ,
1/24/2026 19:34:32,Poly,3,9,"it's mainly because of the heavy workload and tight deadlines in poly. juggling multiple projects and tests at the same time can be overwhelming, especially when several deadlines clash. there’s also pressure to maintain a good GPA while participating in CCAs or part-time work.",
1/24/2026 19:46:11,Poly,4,5,it depends on the assignment and workload,
1/24/2026 20:08:55,JC,5,8,"Short runway (2 years) and a lot of CCA things to do like open house, NSG and need to do volunteer as well for portfolio",
1/24/2026 20:13:14,Poly,1,7,Exam every week,
1/24/2026 20:16:22,Poly,2,5,It’s manageable ,
1/24/2026 20:32:45,Poly,2,9,hard to understand classes and a lot of assignments ,
1/24/2026 21:07:13,Poly,3,10,exam,
1/25/2026 0:06:33,Poly,4,8,"studying bio not easy bro  
also queue r6/mr/ow holidays 11feb onwards",
1/25/2026 1:25:11,Poly,3,8,Its project rush period for the next 4 weeks and it is super stressful even though i started early,
1/25/2026 10:34:40,Poly,2,7,There's a lot of work on top of cca,
1/25/2026 11:25:13,JC,2,8,There's a lot that needs to be done outside of school,
1/25/2026 11:42:20,JC,1,3,"I can cope well in school, can't rlly say much about me not revising much,",
1/25/2026 20:13:28,JC,3,6,"it's still the start of the year, so the there's only a few timed practices/ tests coming up, homework is still manageable, and a levels still a few months away, no need to worry abt mugging (YET), so there's still stress of keeping up with the workload but it's not too serious at the moment🙂‍↕️",
1/26/2026 14:36:19,JC,4,6,I’m relatively ahead but there is still a lot of work to do and also I love u so much daniel my sweet princess ,
2/2/2026 11:55:11,Poly,4,1,Cus Daniel cuddles me everyday after school ,6-7
2/2/2026 12:31:18,JC,2,6,i’m not crazy stressed but there’s a lot of hw,6
2/2/2026 19:08:13,JC,5,7,"because the bridge rejected me and its not looking too good fam
",8
,,,,,
,,,,,
,,Average hrs studied outside of sch,,,
,,2.97,6.86,,
